,precision,recall,f1-score,support
0,0.9998410455669374,0.9955507878446821,0.997691304501075,56864.0
1,0.260233918128655,0.9081632653061225,0.40454545454545454,98.0
accuracy,0.9954004424001967,0.9954004424001967,0.9954004424001967,0.9954004424001967
macro avg,0.6300374818477962,0.9518570265754023,0.7011183795232647,56962.0
weighted avg,0.9985685920279298,0.9954004424001967,0.9966708295652291,56962.0
